tic_id,candidate_number,period,t0,duration_days,duration_hours,depth,depth_ppm,snr,n_transits,bls_power,tls_sde,bls_fap,tier,snr_category,TIC_ID,r_star,t_eff,crowdsap,stellar_activity_flag,vetting_passed,hard_rejection_cause,batman_fit,multiplicity_boost_applied,notes,class_label,confidence_planet,confidence_eb,confidence_blend,confidence_other,period_days,period_err,T0_btjd,T0_err,duration_err,depth_err,sde,Rp_Rs,Rp_Rs_err,a_Rs,a_Rs_err,impact_param,r_planet_earth,r_planet_err,orbital_distance_AU,t_eq_kelvin,odd_even_sigma,secondary_sigma,centroid_shift_arcsec,duration_ratio,flat_bottom_ratio
31381302,2,0.660710,1325.506183,0.070000,1.680000,0.004587,4587.272470,35.057814,42,827.002456,0.000000,1.000000,false_positive,high,31381302,0.140898,2836.000000,0.834294,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30315127,2,1.396018,1326.503703,0.070000,1.680000,0.008070,8069.819399,34.737432,19,34658.416051,0.000000,1.000000,false_positive,high,30315127,4.943530,7931.000000,0.972004,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29257288,3,0.893142,1326.061482,0.075000,1.800000,0.004045,4044.777986,34.582717,31,991.001467,0.000000,1.000000,false_positive,high,29257288,0.247312,3258.000000,0.843377,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25139818,1,1.091759,1325.556006,0.078869,1.892852,0.001379,1378.549111,33.757041,26,7505.763642,5.082226,1.000000,false_positive,high,25139818,1.582240,7378.000000,0.992853,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29825720,1,9.282167,1334.443880,0.075000,1.800000,0.001720,1720.413560,33.482549,2,1181.067055,0.000000,1.000000,false_positive,high,29825720,44.445999,3648.000000,0.996966,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29716907,2,1.822406,1325.463680,0.167801,4.027229,0.001804,1804.383546,33.347380,16,3027.131029,17.688212,1.000000,false_positive,high,29716907,1.084850,6114.000000,0.998242,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24695725,3,0.552449,1325.556632,0.027500,0.660000,1.656180,1656180.075405,33.050737,50,329576.985845,0.000000,1.000000,false_positive,high,24695725,0.239123,5778.000000,0.225391,True,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29825720,2,9.689446,1334.446380,0.065000,1.560000,0.003046,3045.553860,33.033294,2,1037.564063,0.000000,1.000000,false_positive,high,29825720,44.445999,3648.000000,0.996966,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31273263,2,11.291630,1326.730706,0.035227,0.845443,0.006748,6747.678255,32.721270,3,745.486000,6.963962,1.000000,false_positive,high,31273263,3.059320,5631.770020,0.976135,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31381302,1,0.660820,1325.338683,0.065000,1.560000,0.004254,4254.322965,31.170717,42,677.161073,0.000000,1.000000,false_positive,high,31381302,0.140898,2836.000000,0.834294,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29477348,5,0.645973,1325.528973,0.065000,1.560000,0.003950,3949.903563,30.946450,42,680.937368,0.000000,1.000000,false_positive,high,29477348,0.212307,3089.000000,0.869881,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25155664,1,9.577010,1330.269788,0.319788,7.674919,0.001163,1163.242152,30.863737,3,12880.178953,16.362409,1.000000,false_positive,high,25155664,2.699540,7178.000000,0.998436,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
